Date,Open,Volume,Low,High,Close
"Dec 27, 2013",763.28,46862700,713.6,777.51,735.07
"Dec 28, 2013",737.98,32505800,705.35,747.06,727.83
"Dec 29, 2013",728.05,19011300,714.44,748.61,745.05
"Dec 30, 2013",741.35,20707700,740.24,766.6,756.13
"Dec 31, 2013",760.32,20897300,738.17,760.58,754.01
"Jan 01, 2014",754.97,22489400,754.97,775.35,771.4
"Jan 02, 2014",773.44,38489500,767.21,820.31,802.39
"Jan 03, 2014",802.85,37810100,789.12,834.15,818.72
"Jan 04, 2014",823.27,38005000,801.67,859.51,859.51
"Jan 05, 2014",858.55,72898500,854.52,952.4,933.53
"Jan 06, 2014",936.05,85565700,905.71,1017.12,953.29
"Jan 07, 2014",946.49,81311700,802,965.74,802
"Jan 08, 2014",795.99,74175600,776.18,870.68,842.72
"Jan 09, 2014",841.47,59998600,804.14,864.36,846.86
"Jan 10, 2014",846.69,31876800,822.6,871.19,868.48
"Jan 11, 2014",867.32,44754200,861.72,921.48,913.95
"Jan 12, 2014",919.6,39623500,851.17,928.52,863.22
"Jan 13, 2014",860.19,45580900,806.05,861.29,841.2
"Jan 14, 2014",843.17,20829800,825.66,855.69,833.27
"Jan 15, 2014",833.12,28107200,830.86,872.81,860.9
"Jan 16, 2014",860.29,19149300,835.63,866.16,835.63
"Jan 17, 2014",834.49,39031700,797.63,842.91,814.64
"Jan 18, 2014",816.07,18052700,816.07,841.49,840
"Jan 19, 2014",839.66,24365700,825.53,870.96,870.96
"Jan 20, 2014",871.39,27652700,853.87,886.39,870.2
"Jan 21, 2014",869.65,18997300,855.93,881.2,863.91
"Jan 22, 2014",867.21,18453700,837.36,870.15,845.59
"Jan 23, 2014",845.46,15607100,819.32,851.57,822.04
"Jan 24, 2014",822.43,34912000,783.58,822.43,797.07
"Jan 25, 2014",796.24,24303900,792.96,861.45,853.61
"Jan 26, 2014",853.68,32224300,844.86,897.02,885.28
"Jan 27, 2014",884.6,49233600,757.11,893,771.39
"Jan 28, 2014",774.02,44875500,766.98,832.5,812.51
"Jan 29, 2014",809.96,17984400,809.85,836.87,826
"Jan 30, 2014",826.02,29918200,799.06,830.5,819.03
"Jan 31, 2014",818.43,17107900,812.6,831.87,829.92
"Feb 01, 2014",828.61,19668700,827.11,853.52,832.58
"Feb 02, 2014",832.9,11300900,820.67,844.72,825.37
"Feb 03, 2014",824.08,13940100,807.22,826.48,823.83
"Feb 04, 2014",823.77,16609700,820.94,840.17,827.96
"Feb 05, 2014",829.96,22395100,811.91,837.32,811.91
"Feb 06, 2014",815.59,50108700,770.59,819.81,781.55
"Feb 07, 2014",783.2,113643000,654.35,783.2,712.4
